Date,close,prediction,signal,positions,positions_value,cash,total,returns
2017-03-13 08:00:00,1.2216,1,1,80000,97728.0,22262.227199999994,119990.2272,
2017-03-13 09:00:00,1.22068,1,0,80000,97654.4,22262.227199999994,119916.62719999999,-0.0006133832872683431
2017-03-13 10:00:00,1.221,1,0,80000,97680.0,22262.227199999994,119942.2272,0.0002134816546941476
2017-03-13 11:00:00,1.22261,1,0,80000,97808.8,22262.227199999994,120071.0272,0.0010738503278351352
2017-03-13 12:00:00,1.22156,1,0,80000,97724.8,22262.227199999994,119987.0272,-0.0006995859197580501
2017-03-13 13:00:00,1.22329,1,0,80000,97863.2,22262.227199999994,120125.42719999999,0.0011534580298360186
2017-03-13 14:00:00,1.22245,0,-1,-80000,97796.0,217834.668,120038.668,-0.0007222384304660379
2017-03-13 15:00:00,1.22336,0,0,-80000,97868.8,217834.668,119965.868,-0.0006064712414169948
2017-03-13 16:00:00,1.22281,0,0,-80000,97824.8,217834.668,120009.868,0.0003667709885615267
2017-03-13 17:00:00,1.22355,0,0,-80000,97884.0,217834.668,119950.668,-0.0004932927682246291
2017-03-13 18:00:00,1.22315,0,0,-80000,97852.0,217834.668,119982.668,0.0002667763384194277
2017-03-13 19:00:00,1.2226299999999999,0,0,-80000,97810.4,217834.668,120024.26800000001,0.0003467167441217889
2017-03-13 20:00:00,1.22211,0,0,-80000,97768.8,217834.668,120065.868,0.0003465965732862841
2017-03-13 21:00:00,1.22203,0,0,-80000,97762.4,217834.668,120072.26800000001,5.330407472681209e-05
2017-03-13 22:00:00,1.22133,0,0,-80000,97706.40000000001,217834.668,120128.268,0.0004663857935953697
2017-03-13 23:00:00,1.22068,0,0,-80000,97654.4,217834.668,120180.26800000001,0.00043287063790864444
2017-03-14 00:00:00,1.22117,0,0,-80000,97693.6,217834.668,120141.068,-0.00032617667319578825
2017-03-14 01:00:00,1.22095,0,0,-80000,97676.0,217834.668,120158.668,0.00014649445267123085
2017-03-14 02:00:00,1.22009,0,0,-80000,97607.2,217834.668,120227.46800000001,0.0005725762539245949
2017-03-14 03:00:00,1.2203899999999999,0,0,-80000,97631.19999999998,217834.668,120203.46800000002,-0.0001996216039414911
2017-03-14 04:00:00,1.22064,0,0,-80000,97651.2,217834.668,120183.46800000001,-0.0001663845505689432
2017-03-14 05:00:00,1.2205,0,0,-80000,97640.0,217834.668,120194.668,9.319085383685533e-05
2017-03-14 06:00:00,1.2159200000000001,0,0,-80000,97273.6,217834.668,120561.068,0.003048388136485336
2017-03-14 07:00:00,1.2136799999999999,0,0,-80000,97094.4,217834.668,120740.26800000001,0.0014863836474972025
2017-03-14 08:00:00,1.21421,0,0,-80000,97136.8,217834.668,120697.868,-0.0003511670191091998
2017-03-14 09:00:00,1.2125299999999999,1,1,80000,97002.4,23810.467520000006,120812.86752,0.0009527883292850259
2017-03-14 10:00:00,1.2132399999999999,1,0,80000,97059.2,23810.467520000006,120869.66752,0.00047014859564198375
2017-03-14 11:00:00,1.21284,1,0,80000,97027.2,23810.467520000006,120837.66752,-0.0002647479773592032
2017-03-14 12:00:00,1.2140799999999998,0,-1,-80000,97126.39999999998,218043.84223999997,120917.44223999999,0.000660180899195062
2017-03-14 13:00:00,1.2143899999999999,0,0,-80000,97151.19999999998,218043.84223999997,120892.64223999999,-0.00020509861555606523
2017-03-14 14:00:00,1.21452,0,0,-80000,97161.6,218043.84223999997,120882.24223999996,-8.602674081170658e-05
2017-03-14 15:00:00,1.2166700000000001,0,0,-80000,97333.6,218043.84223999997,120710.24223999996,-0.001422872349261306
2017-03-14 16:00:00,1.2158200000000001,0,0,-80000,97265.6,218043.84223999997,120778.24223999996,0.0005633324789855454
2017-03-14 17:00:00,1.21659,0,0,-80000,97327.20000000001,218043.84223999997,120716.64223999996,-0.0005100256375448753
2017-03-14 18:00:00,1.21603,1,1,80000,97282.4,23459.585759999987,120741.98575999998,0.00020994222113657202
2017-03-14 19:00:00,1.21549,1,0,80000,97239.2,23459.585759999987,120698.78575999998,-0.0003577877217115777
2017-03-14 20:00:00,1.21574,1,0,80000,97259.2,23459.585759999987,120718.78575999998,0.00016570174980690133
2017-03-14 21:00:00,1.2159200000000001,1,0,80000,97273.6,23459.585759999987,120733.18576,0.0001192854940459398
2017-03-14 22:00:00,1.21537,1,0,80000,97229.6,23459.585759999987,120689.18576,-0.00036443998162583036
2017-03-14 23:00:00,1.21576,1,0,80000,97260.8,23459.585759999987,120720.38575999999,0.00025851529118803285
2017-03-15 00:00:00,1.21591,1,0,80000,97272.8,23459.585759999987,120732.38575999999,9.940326088631046e-05
2017-03-15 01:00:00,1.2162600000000001,1,0,80000,97300.8,23459.585759999987,120760.38575999999,0.00023191788867382712
2017-03-15 02:00:00,1.21571,1,0,80000,97256.8,23459.585759999987,120716.38575999999,-0.0003643578953734794
2017-03-15 03:00:00,1.21583,1,0,80000,97266.4,23459.585759999987,120725.98575999998,7.952524373178171e-05
2017-03-15 04:00:00,1.21644,1,0,80000,97315.2,23459.585759999987,120774.78575999998,0.000404221176516284
2017-03-15 05:00:00,1.2177,0,-1,-80000,97416.0,218272.10256,120856.10256,0.0006732928523807136
2017-03-15 06:00:00,1.2222899999999999,0,0,-80000,97783.2,218272.10256,120488.90256,-0.0030383240251993238
2017-03-15 07:00:00,1.22302,0,0,-80000,97841.6,218272.10256,120430.50256,-0.0004846919405787631
2017-03-15 08:00:00,1.22285,0,0,-80000,97828.0,218272.10256,120444.10256,0.00011292820100305967
2017-03-15 09:00:00,1.22042,0,0,-80000,97633.6,218272.10256,120638.50256,0.0016140267216748772
2017-03-15 10:00:00,1.21935,0,0,-80000,97548.0,218272.10256,120724.10256,0.000709557878981748
2017-03-15 11:00:00,1.21941,0,0,-80000,97552.8,218272.10256,120719.30256,-3.976008020123434e-05
2017-03-15 12:00:00,1.21949,0,0,-80000,97559.2,218272.10256,120712.90256,-5.3015548170609605e-05
2017-03-15 13:00:00,1.2201,0,0,-80000,97608.0,218272.10256,120664.10256,-0.00040426498713130865
2017-03-15 14:00:00,1.22009,0,0,-80000,97607.2,218272.10256,120664.90256,6.629975137784072e-06
2017-03-15 15:00:00,1.22215,0,0,-80000,97772.0,218272.10256,120500.10256,-0.0013657658233972025
2017-03-15 16:00:00,1.2221899999999999,0,0,-80000,97775.2,218272.10256,120496.90256,-2.655599399514763e-05
2017-03-15 17:00:00,1.2203,0,0,-80000,97624.0,218272.10256,120648.10256,0.0012548040388400405
2017-03-15 18:00:00,1.2294399999999999,0,0,-80000,98355.19999999998,218272.10256,119916.90256000002,-0.006060600908633029
2017-03-15 19:00:00,1.22983,0,0,-80000,98386.4,218272.10256,119885.70256,-0.000260180169216806
2017-03-15 20:00:00,1.22917,0,0,-80000,98333.6,218272.10256,119938.50256,0.0004404194901685976
2017-03-15 21:00:00,1.22894,1,1,80000,98315.2,21622.03951999999,119937.23951999999,-1.0530730107927155e-05
2017-03-15 22:00:00,1.22922,1,0,80000,98337.59999999999,21622.03951999999,119959.63951999998,0.00018676434516629037
2017-03-15 23:00:00,1.2282600000000001,1,0,80000,98260.80000000002,21622.03951999999,119882.83952000001,-0.0006402153283160406
2017-03-16 00:00:00,1.22751,1,0,80000,98200.8,21622.03951999999,119822.83952,-0.0005004886457499191
2017-03-16 01:00:00,1.2268299999999999,1,0,80000,98146.4,21622.03951999999,119768.43951999999,-0.0004540035957912858
2017-03-16 02:00:00,1.227,1,0,80000,98160.0,21622.03951999999,119782.03951999999,0.00011355245216937426
2017-03-16 03:00:00,1.22654,1,0,80000,98123.2,21622.03951999999,119745.23951999999,-0.000307224690341501
2017-03-16 04:00:00,1.22669,1,0,80000,98135.20000000001,21622.03951999999,119757.23952,0.00010021275207372504
2017-03-16 05:00:00,1.2267299999999999,1,0,80000,98138.4,21622.03951999999,119760.43951999999,2.672072279552573e-05
2017-03-16 06:00:00,1.22813,1,0,80000,98250.4,21622.03951999999,119872.43951999999,0.000935200308623596
2017-03-16 07:00:00,1.22735,1,0,80000,98188.0,21622.03951999999,119810.03951999999,-0.0005205533502935511
2017-03-16 08:00:00,1.22561,1,0,80000,98048.8,21622.03951999999,119670.83952,-0.001161839196094805
2017-03-16 09:00:00,1.2250299999999998,1,0,80000,98002.4,21622.03951999999,119624.43951999999,-0.0003877302121897408
2017-03-16 10:00:00,1.22555,1,0,80000,98044.0,21622.03951999999,119666.03951999999,0.0003477550253687678
2017-03-16 11:00:00,1.22669,1,0,80000,98135.20000000001,21622.03951999999,119757.23952,0.0007621209857520128
2017-03-16 12:00:00,1.23696,1,0,80000,98956.8,21622.03951999999,120578.83952,0.006860545577812793
2017-03-16 13:00:00,1.23419,1,0,80000,98735.2,21622.03951999999,120357.23951999999,-0.0018378017310678452
2017-03-16 14:00:00,1.2362600000000001,1,0,80000,98900.80000000002,21622.03951999999,120522.83952000001,0.0013759039394760642
2017-03-16 15:00:00,1.23688,1,0,80000,98950.4,21622.03951999999,120572.43951999999,0.0004115402540922908
2017-03-16 16:00:00,1.23716,1,0,80000,98972.8,21622.03951999999,120594.83952,0.000185780432818472
2017-03-16 17:00:00,1.23528,1,0,80000,98822.4,21622.03951999999,120444.43951999999,-0.0012471512097751436
2017-03-16 18:00:00,1.23593,1,0,80000,98874.4,21622.03951999999,120496.43951999999,0.0004317343349948821
2017-03-16 19:00:00,1.23575,0,-1,-80000,98859.99999999999,219322.26751999996,120462.26751999998,-0.00028359344173267687
2017-03-16 20:00:00,1.23624,0,0,-80000,98899.2,219322.26751999996,120423.06751999997,-0.0003254131007744965
2017-03-16 21:00:00,1.23607,0,0,-80000,98885.6,219322.26751999996,120436.66751999996,0.00011293517330246416
2017-03-16 22:00:00,1.23563,0,0,-80000,98850.4,219322.26751999996,120471.86751999997,0.00029226979394936237
2017-03-16 23:00:00,1.2351,0,0,-80000,98808.0,219322.26751999996,120514.26751999996,0.0003519493876273927
2017-03-17 00:00:00,1.23568,0,0,-80000,98854.4,219322.26751999996,120467.86751999997,-0.0003850166536696342
2017-03-17 01:00:00,1.2349700000000001,0,0,-80000,98797.6,219322.26751999996,120524.66751999996,0.0004714950232729276
2017-03-17 02:00:00,1.23528,0,0,-80000,98822.4,219322.26751999996,120499.86751999997,-0.00020576700612651155
2017-03-17 03:00:00,1.23528,0,0,-80000,98822.4,219322.26751999996,120499.86751999997,0.0
2017-03-17 04:00:00,1.23563,0,0,-80000,98850.4,219322.26751999996,120471.86751999997,-0.00023236540069515588
2017-03-17 05:00:00,1.23545,1,1,80000,98836.0,21630.500319999963,120466.50031999996,-4.455148003013054e-05
2017-03-17 06:00:00,1.2365700000000002,1,0,80000,98925.60000000002,21630.500319999963,120556.10031999998,0.0007437752384440444
