time,open,close,high,low
2018-02-20 00:00:00,1.24004,1.24064,1.24109,1.23966
2018-02-20 01:00:00,1.24064,1.23946,1.24066,1.23853
2018-02-20 02:00:00,1.23946,1.23857,1.23982,1.23827
2018-02-20 03:00:00,1.23856,1.23861,1.23882,1.23796
2018-02-20 04:00:00,1.23862,1.23879,1.23936,1.23825
2018-02-20 05:00:00,1.23879,1.23854,1.23969,1.23803
2018-02-20 06:00:00,1.23853,1.23784,1.23868,1.23750
2018-02-20 07:00:00,1.23782,1.23605,1.23922,1.23568
2018-02-20 08:00:00,1.23605,1.23593,1.23733,1.23457
2018-02-20 09:00:00,1.23591,1.23442,1.23644,1.23433
2018-02-20 10:00:00,1.23444,1.23402,1.23509,1.23341
2018-02-20 11:00:00,1.23402,1.23487,1.23528,1.23333
2018-02-20 12:00:00,1.23487,1.23462,1.23558,1.23381
2018-02-20 13:00:00,1.23462,1.23258,1.23471,1.23201
2018-02-20 14:00:00,1.23257,1.23462,1.23620,1.23228
2018-02-20 15:00:00,1.23460,1.23409,1.23545,1.23386
2018-02-20 16:00:00,1.23411,1.23484,1.23509,1.23259
2018-02-20 17:00:00,1.23484,1.23444,1.23579,1.23409
2018-02-20 18:00:00,1.23447,1.23405,1.23461,1.23303
2018-02-20 19:00:00,1.23405,1.23354,1.23440,1.23333
2018-02-20 20:00:00,1.23351,1.23363,1.23404,1.23326
2018-02-20 21:00:00,1.23363,1.23377,1.23380,1.23354
2018-02-20 22:00:00,1.23378,1.23355,1.23416,1.23354
2018-02-20 23:00:00,1.23357,1.23358,1.23374,1.23293
2018-02-21 00:00:00,1.23357,1.23354,1.23450,1.23318
2018-02-21 01:00:00,1.23355,1.23374,1.23405,1.23290
2018-02-21 02:00:00,1.23375,1.23343,1.23445,1.23339
2018-02-21 03:00:00,1.23343,1.23308,1.23370,1.23241
2018-02-21 04:00:00,1.23305,1.23222,1.23348,1.23179
2018-02-21 05:00:00,1.23220,1.23230,1.23269,1.23172
2018-02-21 06:00:00,1.23230,1.23362,1.23362,1.23221
2018-02-21 07:00:00,1.23362,1.23161,1.23399,1.23104
2018-02-21 08:00:00,1.23156,1.23174,1.23257,1.23078
2018-02-21 09:00:00,1.23176,1.23337,1.23360,1.23092
2018-02-21 10:00:00,1.23337,1.23270,1.23338,1.23146
2018-02-21 11:00:00,1.23270,1.23161,1.23294,1.23146
2018-02-21 12:00:00,1.23161,1.23050,1.23231,1.23003
2018-02-21 13:00:00,1.23051,1.23207,1.23207,1.23002
2018-02-21 14:00:00,1.23206,1.23238,1.23357,1.23184
2018-02-21 15:00:00,1.23237,1.23199,1.23352,1.23147
2018-02-21 16:00:00,1.23197,1.23150,1.23248,1.23038
2018-02-21 17:00:00,1.23147,1.23273,1.23276,1.23112
2018-02-21 18:00:00,1.23270,1.23252,1.23280,1.23178
2018-02-21 19:00:00,1.23252,1.23026,1.23602,1.22995
2018-02-21 20:00:00,1.23024,1.22906,1.23026,1.22813
2018-02-21 21:00:00,1.22904,1.22836,1.22993,1.22829
2018-02-21 22:00:00,1.22833,1.22759,1.22863,1.22737
2018-02-21 23:00:00,1.22760,1.22807,1.22850,1.22760
2018-02-22 00:00:00,1.22809,1.22727,1.22813,1.22655
2018-02-22 01:00:00,1.22727,1.22793,1.22850,1.22683
2018-02-22 02:00:00,1.22790,1.22798,1.22840,1.22772
2018-02-22 03:00:00,1.22799,1.22775,1.22806,1.22727
