Date,Open,Close,High,Low
2013-03-12 00:00:00,1.49062,1.49072,1.49084,1.48983
2013-03-12 01:00:00,1.49075,1.49090,1.49130,1.49021
2013-03-12 02:00:00,1.49091,1.49033,1.49126,1.49033
2013-03-12 03:00:00,1.49034,1.48925,1.49034,1.48904
2013-03-12 04:00:00,1.48926,1.48970,1.48983,1.48870
2013-03-12 05:00:00,1.48970,1.48931,1.49003,1.48921
2013-03-12 06:00:00,1.48928,1.48916,1.48984,1.48796
2013-03-12 07:00:00,1.48916,1.48957,1.49046,1.48877
2013-03-12 08:00:00,1.48957,1.49036,1.49170,1.48837
2013-03-12 09:00:00,1.49036,1.48534,1.49164,1.48322
2013-03-12 10:00:00,1.48534,1.48624,1.48683,1.48401
2013-03-12 11:00:00,1.48627,1.48820,1.48940,1.48594
2013-03-12 12:00:00,1.48820,1.48896,1.49100,1.48708
2013-03-12 13:00:00,1.48897,1.48684,1.48980,1.48635
2013-03-12 14:00:00,1.48681,1.48633,1.48787,1.48618
2013-03-12 15:00:00,1.48633,1.48851,1.48898,1.48564
2013-03-12 16:00:00,1.48852,1.49017,1.49043,1.48763
2013-03-12 17:00:00,1.49019,1.49028,1.49144,1.48900
2013-03-12 18:00:00,1.49028,1.49101,1.49124,1.48965
2013-03-12 19:00:00,1.49101,1.49045,1.49128,1.49003
2013-03-12 20:00:00,1.49046,1.49060,1.49093,1.49005
2013-03-12 21:00:00,1.49061,1.48981,1.49121,1.48973
2013-03-12 22:00:00,1.48987,1.48986,1.49060,1.48986
2013-03-12 23:00:00,1.48984,1.49057,1.49070,1.48939
2013-03-13 00:00:00,1.49057,1.49061,1.49091,1.48986
2013-03-13 01:00:00,1.49061,1.49152,1.49164,1.49025
2013-03-13 02:00:00,1.49151,1.49361,1.49441,1.49149
2013-03-13 03:00:00,1.49361,1.49381,1.49534,1.49356
2013-03-13 04:00:00,1.49368,1.49332,1.49428,1.49328
2013-03-13 05:00:00,1.49335,1.49375,1.49426,1.49335
2013-03-13 06:00:00,1.49373,1.49474,1.49478,1.49332
2013-03-13 07:00:00,1.49474,1.49607,1.49650,1.49232
2013-03-13 08:00:00,1.49607,1.49276,1.49622,1.49229
2013-03-13 09:00:00,1.49277,1.49699,1.49746,1.49242
2013-03-13 10:00:00,1.49699,1.49557,1.49827,1.49529
2013-03-13 11:00:00,1.49557,1.49709,1.49735,1.49523
2013-03-13 12:00:00,1.49708,1.49526,1.49776,1.49361
2013-03-13 13:00:00,1.49524,1.49194,1.49657,1.49163
2013-03-13 14:00:00,1.49192,1.49193,1.49257,1.49084
2013-03-13 15:00:00,1.49193,1.49253,1.49338,1.49116
2013-03-13 16:00:00,1.49252,1.49266,1.49279,1.49157
2013-03-13 17:00:00,1.49266,1.49311,1.49352,1.49225
2013-03-13 18:00:00,1.49304,1.49261,1.49318,1.49234
2013-03-13 19:00:00,1.49263,1.49251,1.49299,1.49187
2013-03-13 20:00:00,1.49250,1.49240,1.49295,1.49173
2013-03-13 21:00:00,1.49242,1.49214,1.49259,1.49136
2013-03-13 22:00:00,1.49224,1.49215,1.49280,1.49199
2013-03-13 23:00:00,1.49214,1.49258,1.49278,1.49208
2013-03-14 00:00:00,1.49256,1.49488,1.49500,1.49247
2013-03-14 01:00:00,1.49488,1.49571,1.49571,1.49400
