Date,Open,Close,High,Low
2013-03-12 00:00:00,0.96644,0.96547,0.96692,0.96433
2013-03-12 01:00:00,0.96547,0.96599,0.96640,0.96511
2013-03-12 02:00:00,0.96599,0.96621,0.96622,0.96551
2013-03-12 03:00:00,0.96621,0.96539,0.96647,0.96531
2013-03-12 04:00:00,0.96541,0.96487,0.96583,0.96472
2013-03-12 05:00:00,0.96487,0.96438,0.96527,0.96404
2013-03-12 06:00:00,0.96436,0.96397,0.96476,0.96325
2013-03-12 07:00:00,0.96395,0.96406,0.96511,0.96322
2013-03-12 08:00:00,0.96407,0.96203,0.96408,0.96042
2013-03-12 09:00:00,0.96202,0.96012,0.96220,0.95772
2013-03-12 10:00:00,0.96011,0.95895,0.96019,0.95647
2013-03-12 11:00:00,0.95891,0.95938,0.95980,0.95759
2013-03-12 12:00:00,0.95938,0.96024,0.96137,0.95928
2013-03-12 13:00:00,0.96023,0.96076,0.96114,0.95913
2013-03-12 14:00:00,0.96075,0.96106,0.96277,0.96065
2013-03-12 15:00:00,0.96106,0.95990,0.96144,0.95724
2013-03-12 16:00:00,0.95991,0.95926,0.96042,0.95898
2013-03-12 17:00:00,0.95927,0.95960,0.95980,0.95829
2013-03-12 18:00:00,0.95960,0.95915,0.96000,0.95872
2013-03-12 19:00:00,0.95916,0.95988,0.96073,0.95915
2013-03-12 20:00:00,0.95988,0.96086,0.96101,0.95973
2013-03-12 21:00:00,0.96087,0.95990,0.96088,0.95954
2013-03-12 22:00:00,0.95990,0.95891,0.96035,0.95864
2013-03-12 23:00:00,0.95890,0.95844,0.95945,0.95745
2013-03-13 00:00:00,0.95844,0.96051,0.96076,0.95814
2013-03-13 01:00:00,0.96051,0.95985,0.96107,0.95942
2013-03-13 02:00:00,0.95985,0.95880,0.95991,0.95841
2013-03-13 03:00:00,0.95880,0.95702,0.95881,0.95664
2013-03-13 04:00:00,0.95701,0.95744,0.95851,0.95673
2013-03-13 05:00:00,0.95744,0.95717,0.95796,0.95595
2013-03-13 06:00:00,0.95715,0.95787,0.95823,0.95714
2013-03-13 07:00:00,0.95790,0.95492,0.95810,0.95452
2013-03-13 08:00:00,0.95487,0.95861,0.95936,0.95483
2013-03-13 09:00:00,0.95862,0.95789,0.95898,0.95758
2013-03-13 10:00:00,0.95787,0.95725,0.95885,0.95704
2013-03-13 11:00:00,0.95728,0.95701,0.95799,0.95647
2013-03-13 12:00:00,0.95701,0.95903,0.96112,0.95666
2013-03-13 13:00:00,0.95901,0.96186,0.96264,0.95885
2013-03-13 14:00:00,0.96186,0.96127,0.96216,0.96008
2013-03-13 15:00:00,0.96130,0.96005,0.96192,0.95997
2013-03-13 16:00:00,0.96009,0.96084,0.96111,0.95909
2013-03-13 17:00:00,0.96084,0.96063,0.96114,0.96014
2013-03-13 18:00:00,0.96062,0.96031,0.96102,0.95971
2013-03-13 19:00:00,0.96031,0.96018,0.96083,0.95973
2013-03-13 20:00:00,0.96017,0.96120,0.96180,0.96015
2013-03-13 21:00:00,0.96120,0.96081,0.96168,0.96058
2013-03-13 22:00:00,0.96081,0.96048,0.96130,0.96043
2013-03-13 23:00:00,0.96049,0.96028,0.96117,0.96020
2013-03-14 00:00:00,0.96028,0.95899,0.96072,0.95883
2013-03-14 01:00:00,0.95897,0.95794,0.95906,0.95691
2013-03-14 02:00:00,0.95796,0.95852,0.95859,0.95730
2013-03-14 03:00:00,0.95851,0.95921,0.95959,0.95820
2013-03-14 04:00:00,0.95920,0.96054,0.96090,0.95882
2013-03-14 05:00:00,0.96054,0.95959,0.96089,0.95942
2013-03-14 06:00:00,0.95957,0.95994,0.96005,0.95940
2013-03-14 07:00:00,0.95992,0.96198,0.96265,0.95989
2013-03-14 08:00:00,0.96199,0.96423,0.96531,0.96172
2013-03-14 09:00:00,0.96423,0.96361,0.96462,0.96356
2013-03-14 10:00:00,0.96361,0.96341,0.96387,0.96292
2013-03-14 11:00:00,0.96342,0.96494,0.96506,0.96337
2013-03-14 12:00:00,0.96494,0.96487,0.96593,0.96391
2013-03-14 13:00:00,0.96487,0.96349,0.96508,0.96301
2013-03-14 14:00:00,0.96347,0.96218,0.96385,0.96122
2013-03-14 15:00:00,0.96217,0.96128,0.96322,0.96113
